Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount
0,-1.0,0.0,1.0,541,8648,27
1,-1.0,0.0,1.0,747,8442,27
2,-1.0,0.0,1.0,756,8433,27
3,-1.0,0.0,1.0,653,8536,27
4,-1.0,0.0,1.0,627,8535,54
5,-1.0,0.0,1.0,620,8524,72
6,-1.0,0.0,1.0,604,8540,72
7,-1.0,0.0,1.0,534,8592,90
8,-1.0,0.0,1.0,485,8632,99
9,-1.0,0.0,1.0,526,8556,134
10,-1.0,0.0,1.0,519,8551,146
11,-1.0,0.0,1.0,424,8556,236
12,-1.0,0.0,1.0,356,8633,227
13,-1.0,0.0,1.0,296,8631,289
14,-1.0,0.0,1.0,297,8692,227
15,-1.0,0.0,1.0,241,8682,293
16,-1.0,0.0,1.0,232,8751,233
17,-1.0,0.0,1.0,189,8666,361
18,-1.0,0.0,1.0,205,8601,410
19,-1.0,0.0,1.0,171,8532,513
20,-1.0,0.0,1.0,157,8535,524
21,-1.0,0.0,1.0,131,8507,578
22,-1.0,0.0,1.0,114,8555,547
23,-1.0,0.0,1.0,94,8526,596
24,-1.0,0.0,1.0,61,8572,583
25,-1.0,0.0,1.0,72,8536,608
26,-1.0,0.0,1.0,90,8497,629
27,-1.0,0.0,1.0,90,8464,662
28,-1.0,0.0,1.0,71,8504,641
29,-1.0,0.0,1.0,54,8592,570
30,-1.0,0.0,1.0,63,8462,691
31,-1.0,0.0,1.0,36,8448,732
32,-1.0,0.0,1.0,24,8428,764
33,-1.0,0.0,1.0,18,8378,820
34,-1.0,0.0,1.0,52,8277,887
35,-1.0,0.0,1.0,46,8215,955
36,-1.0,0.0,1.0,34,8300,882
37,0.0,0.0,1.0,0,8206,1010
38,-1.0,0.0,1.0,9,8200,1007
39,-1.0,0.0,1.0,18,8042,1156
40,-1.0,0.0,1.0,18,8125,1073
41,-1.0,0.0,1.0,18,7940,1258
42,-1.0,0.0,1.0,9,8018,1189
43,-1.0,0.0,1.0,9,7966,1241
44,0.0,0.0,1.0,0,7941,1275
45,0.0,0.0,1.0,0,7793,1423
46,0.0,0.0,1.0,0,7770,1446
47,0.0,0.0,1.0,0,7899,1317
48,0.0,0.0,1.0,0,7938,1278
49,0.0,0.0,1.0,0,7862,1354
50,0.0,0.0,1.0,0,7643,1573
51,0.0,0.0,1.0,0,7599,1617
52,0.0,0.0,1.0,0,7462,1754
53,0.0,0.0,1.0,0,7522,1694
54,0.0,0.0,1.0,0,7429,1787
55,0.0,0.0,1.0,0,7529,1687
56,0.0,0.0,1.0,0,7412,1804
57,0.0,0.0,1.0,0,7439,1777
58,0.0,0.0,1.0,0,7292,1924
59,0.0,0.0,1.0,0,7265,1951
60,0.0,0.0,1.0,0,7095,2121
61,0.0,0.0,1.0,0,7236,1980
62,0.0,0.0,1.0,0,7195,2021
63,0.0,0.0,1.0,0,7231,1985
64,0.0,0.0,1.0,0,7131,2085
65,0.0,0.0,1.0,0,7204,2012
66,0.0,0.0,1.0,0,7115,2101
67,0.0,0.0,1.0,0,7167,2049
68,0.0,0.0,1.0,0,7162,2054
69,0.0,0.0,1.0,0,7242,1974
70,0.0,0.0,1.0,0,7095,2121
71,0.0,0.0,1.0,0,7080,2136
72,0.0,0.0,1.0,0,6997,2219
73,0.0,0.0,1.0,0,7267,1949
74,0.0,0.0,1.0,0,7410,1806
75,0.0,0.0,1.0,0,7481,1735
76,0.0,0.0,1.0,0,7304,1912
77,0.0,0.0,1.0,0,7210,2006
78,0.0,0.0,1.0,0,7179,2037
79,0.0,0.0,1.0,0,7299,1917
80,0.0,0.0,1.0,0,7475,1741
81,0.0,0.0,1.0,0,7503,1713
82,0.0,0.0,1.0,0,7385,1831
83,0.0,0.0,1.0,0,7394,1822
84,0.0,0.0,1.0,0,7506,1710
85,0.0,0.0,1.0,0,7544,1672
86,0.0,0.0,1.0,0,7571,1645
87,0.0,0.0,1.0,0,7550,1666
88,0.0,0.0,1.0,0,7549,1667
89,0.0,0.0,1.0,0,7702,1514
90,0.0,0.0,1.0,0,7690,1526
91,0.0,0.0,1.0,0,7830,1386
92,0.0,0.0,1.0,0,7953,1263
93,0.0,0.0,1.0,0,7972,1244
94,0.0,0.0,1.0,0,7987,1229
95,0.0,0.0,1.0,0,7878,1338
96,0.0,0.0,1.0,0,8101,1115
97,0.0,0.0,1.0,0,8147,1069
98,0.0,0.0,1.0,0,8154,1062
99,0.0,0.0,1.0,0,8182,1034
100,0.0,0.0,1.0,0,8351,865
101,0.0,0.0,1.0,0,8579,637
102,0.0,0.0,1.0,0,8634,582
103,0.0,0.0,1.0,0,8616,600
104,0.0,0.0,1.0,0,8575,641
105,0.0,0.0,1.0,0,8669,547
106,0.0,0.0,1.0,0,8665,551
107,0.0,0.0,1.0,0,8743,473
108,0.0,0.0,1.0,0,8722,494
109,0.0,0.0,1.0,0,8749,467
110,0.0,0.0,1.0,0,8787,429
111,0.0,0.0,1.0,0,8830,386
