Frame Index,Min,Median,Max,NegCount,ZeroCount,PosCount,Dominant Event,Cumsum,EXP
0,-0.018518519,0.0,0.055555556,79,8326,811,0.0,-7.768518571999997,0.0
1,-0.018518519,0.0,0.074074075,91,7945,1180,0.0,-7.768518571999997,0.0
2,-0.018518519,0.0,0.0462963,46,7941,1229,0.0,-7.768518571999997,0.0
3,-0.009259259,0.0,0.055555556,45,8025,1146,0.0,-7.768518571999997,0.0
4,-0.018518519,0.0,0.0462963,36,8072,1108,0.0,-7.768518571999997,0.0
5,-0.018518519,0.0,0.0462963,50,8042,1124,0.0,-7.768518571999997,0.0
6,-0.018518519,0.0,0.05555556,50,7901,1265,0.0,-7.768518571999997,0.0
7,-0.027777778,0.0,0.0462963,51,7885,1280,0.0,-7.768518571999997,0.0
8,-0.018518519,0.0,0.037037037,46,7914,1256,0.0,-7.768518571999997,0.0
9,-0.009259259,0.0,0.055555556,48,7976,1192,0.0,-7.768518571999997,0.0
10,-0.009259259,0.0,0.055555556,45,7954,1217,0.0,-7.768518571999997,0.0
11,-0.009259259,0.0,0.0462963,27,7893,1296,0.0,-7.768518571999997,0.0
12,-0.009259259,0.0,0.0462963,36,7960,1220,0.0,-7.768518571999997,0.0
13,-0.009259259,0.0,0.05555556,45,7902,1269,0.0,-7.768518571999997,0.0
14,-0.018518519,0.0,0.06481481,45,7919,1252,0.0,-7.768518571999997,0.0
15,-0.027777778,0.0,0.06481481,30,7808,1378,0.0,-7.768518571999997,0.0
16,-0.027777778,0.0,0.05555556,12,7810,1394,0.0,-7.768518571999997,0.0
17,-0.018518519,0.0,0.05555556,27,7746,1443,0.0,-7.768518571999997,0.0
18,-0.018518519,0.0,0.0462963,27,7727,1462,0.0,-7.768518571999997,0.0
19,-0.018518519,0.0,0.05555556,27,7747,1442,0.0,-7.768518571999997,0.0
20,-0.009259259,0.0,0.06481482,18,7744,1454,0.0,-7.768518571999997,0.0
21,-0.009259259,0.0,0.07407408,27,7780,1409,0.0,-7.768518571999997,0.0
22,-0.018518519,0.0,0.05555556,36,7735,1445,0.0,-7.768518571999997,0.0
23,-0.018518519,0.0,0.0462963,35,7615,1566,0.0,-7.768518571999997,0.0
24,-0.018518519,0.0,0.05555556,35,7560,1621,0.0,-7.768518571999997,0.0
25,-0.009259259,0.0,0.07407408,27,7563,1626,0.0,-7.768518571999997,0.0
26,-0.009259259,0.0,0.05555556,45,7533,1638,0.0,-7.768518571999997,0.0
27,-0.018518519,0.0,0.05555556,36,7487,1693,0.0,-7.768518571999997,0.0
28,-0.018518519,0.0,0.06481482,54,7386,1776,0.0,-7.768518571999997,0.0
29,-0.018518519,0.0,0.06481482,45,7199,1972,0.0,-7.768518571999997,0.0
30,-0.018518519,0.0,0.06481482,44,7161,2011,0.0,-7.768518571999997,0.0
31,-0.018518519,0.0,0.05555556,32,6960,2224,0.0,-7.768518571999997,0.0
32,-0.018518519,0.0,0.06481482,24,7074,2118,0.0,-7.768518571999997,0.0
33,-0.018518519,0.0,0.06481482,27,7039,2150,0.0,-7.768518571999997,0.0
34,-0.018518519,0.0,0.07407408,27,7037,2152,0.0,-7.768518571999997,0.0
35,-0.009259259,0.0,0.05555556,18,6752,2446,0.0,-7.768518571999997,0.0
36,-0.009259259,0.0,0.05555556,9,6660,2547,0.0,-7.768518571999997,0.0
37,-0.009259259,0.0,0.05555556,18,6561,2637,0.0,-7.768518571999997,0.0
38,-0.009259259,0.0,0.06481482,27,6433,2756,0.0,-7.768518571999997,0.0
39,-0.009259259,0.0,0.06481482,36,6408,2772,0.0,-7.768518571999997,0.0
40,-0.018518519,0.0,0.05555556,27,6293,2896,0.0,-7.768518571999997,0.0
41,-0.018518519,0.0,0.06481482,27,6180,3009,0.0,-7.768518571999997,0.0
42,-0.018518519,0.0,0.07407408,27,6077,3112,0.0,-7.768518571999997,0.0
43,-0.009259259,0.0,0.074074075,18,5966,3232,0.0,-7.768518571999997,0.0
44,-0.018518519,0.0,0.083333336,25,6005,3186,0.0,-7.768518571999997,0.0
45,-0.018518519,0.0,0.06481482,26,6084,3106,0.0,-7.768518571999997,0.0
46,-0.018518519,0.0,0.06481482,56,5925,3235,0.0,-7.768518571999997,0.0
47,-0.018518519,0.0,0.055555556,41,5812,3363,0.0,-7.768518571999997,0.0
48,-0.018518519,0.0,0.06481482,38,5474,3704,0.0,-7.768518571999997,0.0
49,-0.018518519,0.0,0.06481481,35,5652,3529,0.0,-7.768518571999997,0.0
50,-0.018518519,0.0,0.06481482,30,5596,3590,0.0,-7.768518571999997,0.0
51,-0.018518519,0.0,0.07407408,23,5587,3606,0.0,-7.768518571999997,0.0
52,-0.009259259,0.0,0.07407408,7,5376,3833,0.0,-7.768518571999997,0.0
53,-0.009259259,0.0,0.05555556,7,5238,3971,0.0,-7.768518571999997,0.0
54,0.0,0.0,0.06481482,0,5142,4074,0.0,-7.768518571999997,0.0
55,-0.009259259,0.0,0.074074075,9,4942,4265,0.0,-7.768518571999997,0.0
56,-0.009259259,0.0,0.08333334,10,4851,4355,0.0,-7.768518571999997,0.0
57,-0.018518519,0.0,0.06481482,22,4756,4438,0.0,-7.768518571999997,0.0
58,-0.009259259,0.0,0.06481482,14,4634,4568,0.0,-7.768518571999997,0.0
59,-0.009259259,0.009259259,0.05555556,20,4266,4930,0.009259259,-7.759259312999997,0.0006940687151069658
60,-0.009259259,0.009259259,0.05555556,18,3986,5212,0.009259259,-7.750000053999997,0.0013889651804926406
61,-0.018518519,0.009259259,0.05555556,19,3769,5428,0.009259259,-7.740740794999997,0.002084690383336696
62,-0.018518519,0.009259259,0.074074075,20,3610,5586,0.009259259,-7.731481535999997,0.0027812453119960834
63,-0.018518519,0.009259259,0.074074075,20,3562,5634,0.009259259,-7.722222276999997,0.0034786309560064788
64,-0.009259259,0.009259259,0.07407408,8,3563,5645,0.009259259,-7.712963017999997,0.004176848306083669
65,-0.009259259,0.009259259,0.06481482,4,3315,5897,0.009259259,-7.703703758999997,0.004875898354125052
66,-0.018518519,0.009259259,0.08333333,9,3244,5963,0.009259259,-7.694444499999997,0.005575782093211079
67,-0.018518519,0.009259259,0.074074075,10,2990,6216,0.009259259,-7.685185240999997,0.006276500517606309
68,-0.018518519,0.009259259,0.06481482,3,2880,6333,0.009259259,-7.675925981999997,0.006978054622761021
69,0.0,0.009259259,0.074074075,0,2633,6583,0.009259259,-7.666666722999997,0.007680445405313041
